Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
152,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),33,1988,28.5,48,29,32,14,2,31,43,72.1,12,41,27,14,59,107,116,0,Matches,39fb428f
153,Andrés D'Alessandro,ar ARG,FW,Internacional,40,1981,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,6a11048a
154,Adailson Dadá,br BRA,MFFW,Goiás,24,1997,27.9,38,22,24,10,4,13,42,31.0,29,23,2,21,15,53,20,0,Matches,2a75cc09
155,Daniel,br BRA,GK,Internacional,27,1994,23.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,8,3,Matches,636fc976
156,Danilo,br BRA,DF,Goiás,24,1997,2.6,1,0,1,0,0,1,2,50.0,1,6,5,1,2,3,13,0,Matches,415a34c5
157,Danilo,br BRA,MF,Palmeiras,20,2001,30.5,70,40,32,31,7,34,67,50.7,33,33,8,25,29,99,38,0,Matches,a816dbfb
158,David,br BRA,MF,Ceará,17,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,16a42430
159,David,br BRA,FW,Internacional,26,1995,9.1,12,6,5,4,3,2,9,22.2,7,7,1,6,0,12,7,0,Matches,92f9ace5
160,Kayke David,br BRA,FWMF,Flamengo,19,2003,0.3,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches,2285358d
161,Giorgian De Arrascaeta,uy URU,MF,Flamengo,27,1994,16.4,37,23,11,17,9,8,22,36.4,14,18,0,18,5,42,5,0,Matches,be8d02dd
162,Denilson,br BRA,MF,Cuiabá,20,2001,7.8,20,12,9,8,3,6,11,54.5,5,6,1,5,9,29,7,0,Matches,9144afdf
163,Dentinho,br BRA,FW,Ceará,33,1989,0.6,1,1,1,0,0,0,0,,0,2,0,2,0,1,0,0,Matches,85686f86
164,Dentinho,br BRA,FWMF,Avaí,24,1997,3.2,5,3,1,4,0,1,6,16.7,5,6,2,4,3,8,3,0,Matches,aaacc628
165,Valentín Depietri,ar ARG,FWMF,Fortaleza,21,2000,2.6,4,2,1,2,1,1,2,50.0,1,6,0,6,2,6,1,0,Matches,d02cb5d7
166,Deyverson,br BRA,FW,Cuiabá,30,1991,14.1,7,3,0,5,2,3,7,42.9,4,5,0,5,4,11,24,0,Matches,2e5e846d
167,Luan Dias,br BRA,MFFW,Goiás,24,1997,8.6,21,12,10,7,4,5,22,22.7,17,8,2,6,9,30,8,0,Matches,a342ce1e
168,Matheus Dias,br BRA,MF,Internacional,24,1997,1.2,6,2,4,2,0,2,4,50.0,2,6,3,3,1,7,1,0,Matches,ddfa9005
169,Juan Díaz,co COL,MF,Coritiba,20,2001,1.5,7,6,4,2,1,1,1,100.0,0,3,0,3,1,8,4,0,Matches,36839110
170,Diego,br BRA,MFDF,Ceará,33,1988,2.3,1,0,1,0,0,0,2,0.0,2,0,0,0,7,8,3,0,Matches,cd09e9a1
171,Diego,br BRA,GK,Atl Goianiense,23,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,6b023405
172,Diego,br BRA,DF,São Paulo,22,1999,19.1,36,25,23,11,2,15,27,55.6,12,19,10,9,24,60,63,0,Matches,7fb8f90c
