Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
485,Nikão,br BRA,FWMF,São Paulo,29,1992,5.8,224,283,79.2,3954,829,114,126,90.5,73,88,83.0,31,49,63.3,0,1.5,1.2,-1.5,16,18,9,3,28,Matches,a34bb194
486,Nino,br BRA,DF,Fluminense,24,1997,27.9,1442,1595,90.4,26579,9369,595,633,94.0,672,712,94.4,154,205,75.1,0,0.6,0.9,-0.6,8,81,2,0,85,Matches,d4fa2207
487,Gabriel Noga,br BRA,DF,Atl Goianiense,20,2002,0.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,aa306af5
488,Ygor Nogueira,br BRA,DF,Juventude,26,1995,5.0,188,225,83.6,3614,1117,64,69,92.8,103,113,91.2,21,36,58.3,0,0.1,0.1,-0.1,1,9,1,0,9,Matches,38466ef3
489,Nonato,br BRA,MF,Fluminense,23,1998,12.1,832,970,85.8,12170,3559,471,510,92.4,293,338,86.7,35,63,55.6,2,1.1,1.5,+0.9,24,85,22,6,91,Matches,b91a6912
490,Nonoca,br BRA,MF,Avaí,23,1998,11.5,441,503,87.7,7501,1919,207,225,92.0,190,210,90.5,38,53,71.7,0,0.4,0.2,-0.4,9,37,1,0,41,Matches,06c062d4
491,Gabriel Novaes,br BRA,FWMF,Bragantino,22,1999,4.3,56,73,76.7,843,124,32,41,78.0,19,23,82.6,4,5,80.0,0,0.4,0.4,-0.4,3,4,1,1,2,Matches,297a324a
492,Thales Oleques,br BRA,DF,Avaí,27,1994,6.2,202,282,71.6,3426,1376,101,114,88.6,81,123,65.9,18,36,50.0,0,0.4,0.3,-0.4,6,17,7,4,19,Matches,a30f8286
493,Bruno Oliveira,br BRA,MFFW,Santos,23,1998,5.0,196,257,76.3,3741,1136,74,87,85.1,90,106,84.9,28,52,53.8,1,2.1,2.3,-1.1,14,24,10,0,36,Matches,d46904eb
494,Yuri Oliveira Lima,br BRA,MF,Juventude,27,1994,16.8,744,877,84.8,13407,4287,317,357,88.8,343,395,86.8,74,100,74.0,0,0.5,1.0,-0.5,15,86,5,2,84,Matches,bcf3d64e
495,Pedro Oliveira,br BRA,MFFW,Goiás,17,2004,3.3,76,105,72.4,1087,275,42,46,91.3,24,35,68.6,4,11,36.4,1,0.2,0.3,+0.8,3,6,6,3,10,Matches,089b56d8
