Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
130,Reynaldo Cesar Moraes,br BRA,DF,Goiás,25,1997,30.5,1189,238,794,377,22,14,1189,5,4,80.0,1,20.0,578,2643,1202,9,5,1,5,4,626,1,Matches,589d070c
131,Jhon Chancellor,ve VEN,DF,Coritiba,30,1992,13.0,518,106,285,217,16,11,518,3,3,100.0,0,0.0,276,1557,905,8,2,0,2,1,294,1,Matches,84b6acaa
132,Arthur Chaves,br BRA,DF,Avaí,21,2001,16.5,981,143,513,452,20,12,981,4,2,50.0,2,50.0,587,2826,1650,6,3,0,6,1,671,0,Matches,913e4711
133,Renato Chaves,br BRA,DF,Juventude,31,1990,1.8,60,15,39,15,6,4,60,0,0,,0,,28,128,59,0,1,1,2,0,29,0,Matches,2a51efe8
134,Chico,br BRA,MFFW,Juventude,30,1991,24.2,1279,30,213,642,442,28,1278,38,17,44.7,19,50.0,737,4592,1879,46,39,4,40,22,803,85,Matches,bad7d8a9
135,Christian,br BRA,MF,Atl Paranaense,21,2000,4.8,228,8,40,120,69,9,228,8,3,37.5,4,50.0,124,498,175,3,3,2,6,3,147,12,Matches,a856b456
136,Diego Churín,ar ARG,FW,Atl Goianiense,32,1989,26.5,934,26,80,498,364,107,933,19,12,63.2,7,36.8,423,1584,498,12,12,4,53,27,652,109,Matches,875ac6e9
137,Marcelo Cirino,br BRA,FW,Atl Paranaense,30,1992,5.2,136,5,21,48,71,11,136,5,2,40.0,3,60.0,72,419,205,10,8,2,10,7,88,23,Matches,6ba81b35
138,Léo Cittadini,br BRA,MFFW,Atl Paranaense,27,1994,8.0,383,11,74,218,92,14,383,5,1,20.0,4,80.0,200,934,372,5,7,2,11,5,233,29,Matches,68410185
139,Luccas Claro,br BRA,DF,Fluminense,30,1991,5.2,293,43,162,122,10,3,293,1,0,0.0,1,100.0,151,696,406,1,0,0,4,2,176,0,Matches,3cacc0ec
140,Clayton,br BRA,FWMF,Coritiba,23,1999,3.6,113,6,10,48,57,19,113,5,3,60.0,2,40.0,66,456,191,6,4,4,12,5,75,24,Matches,b05870de
141,Cléber,br BRA,FW,Ceará,25,1996,10.9,398,13,36,173,196,60,398,17,9,52.9,7,41.2,187,967,403,12,6,2,32,4,268,73,Matches,e539e239
